Date,Consumption
01/01/2019,121.55
01/02/2019,60.54
01/03/2019,78.06
01/04/2019,86.37
01/05/2019,155.77
01/06/2019,163.46
01/07/2019,124.07
01/08/2019,125.59
01/09/2019,155.8
01/10/2019,220.18
01/11/2019,151.23
01/12/2019,93.24
01/13/2019,219.87
01/14/2019,195.87
01/15/2019,100.87
01/16/2019,180.07
01/17/2019,168.96
01/18/2019,68.94
01/19/2019,87.38
01/20/2019,154.46
01/21/2019,185.33
01/22/2019,58.01
01/23/2019,115.32
01/24/2019,206.72
01/25/2019,196.33
01/26/2019,186.43
01/27/2019,196.63
01/28/2019,141.15
01/29/2019,69.36
01/30/2019,161.17
01/31/2019,138.39
02/01/2019,179.15
02/02/2019,107.34
02/03/2019,116.17
02/04/2019,68.93
02/05/2019,75.3
02/06/2019,195.25
02/07/2019,172.26
02/08/2019,115.68
02/09/2019,63.94
02/10/2019,210.79
02/11/2019,190.77
02/12/2019,214.47
02/13/2019,152.69
02/14/2019,184.03
02/15/2019,100.03
02/16/2019,65.15
02/17/2019,136.06
02/18/2019,185.87
02/19/2019,93.41
02/20/2019,209.68
02/21/2019,152.08
02/22/2019,128.61
02/23/2019,125.87
02/24/2019,193.42
02/25/2019,160.83
02/26/2019,107.78
02/27/2019,201.52
02/28/2019,101.42
03/01/2019,149.43
03/02/2019,210.9
03/03/2019,169.3
03/04/2019,79.09
03/05/2019,145.63
03/06/2019,146.7
03/07/2019,99.37
03/08/2019,189.81
03/09/2019,217.38
03/10/2019,183.81
03/11/2019,141.84
03/12/2019,67.73
03/13/2019,176.73
03/14/2019,142.56
03/15/2019,152.83
03/16/2019,182.71
03/17/2019,209.37
03/18/2019,145.58
03/19/2019,99.03
03/20/2019,90
03/21/2019,169.92
03/22/2019,64.14
03/23/2019,65.66
03/24/2019,122.79
03/25/2019,181.31
03/26/2019,73.13
03/27/2019,64.33
03/28/2019,172.11
03/29/2019,125.19
03/30/2019,104.54
03/31/2019,62.66
04/01/2019,167.28
04/02/2019,148.81
04/03/2019,197.61
04/04/2019,109.05
04/05/2019,200.4
04/06/2019,60.92
04/07/2019,200.78
04/08/2019,61.68
04/09/2019,99.58
04/10/2019,194.44
04/11/2019,154.13
04/12/2019,203.84
04/13/2019,63.63
04/14/2019,146.86
04/15/2019,130.82
04/16/2019,59.79
04/17/2019,178.93
04/18/2019,209.33
